letter,word,image,tag,status,notes
a,appel,appel.png,,active,
a,auto,auto.png,,active,
b,bad,bad.png,,active,placeholder image
b,bal,bal.png,,active,
b,banaan,banaan.png,,active,
b,beer,beer.png,,active,
b,boom,boom.png,,active,
d,deur,deur.png,,active,
d,draak,draak.png,,active,
d,druif,druif.png,,active,
e,eend,eend.png,,active,
f,fiets,fiets.png,,active,
h,hand,hand.png,,active,
h,huis,huis.png,,active,
j,jas,jas.png,,active,
k,kat,kat.png,,active,
k,koe,koe.png,,active,
l,leeuw,leeuw.png,,active,
m,melk,melk.png,,active,
m,muis,muis.png,,active,
n,neus,neus.png,,active,
o,olifant,olifant.png,,active,
o,oog,oog.png,,active,
p,peer,peer.png,,active,
s,schoen,schoen.png,,active,
s,sok,sok.png,,active,
t,tafel,tafel.png,,active,
t,tand,tand.png,,active,
v,vis,vis.png,,active,
v,vlinder,vlinder.png,,active,
z,zebra,zebra.png,,active,
z,zon,zon.png,,active,
